model,prompt,threshold,overallPrecision,overallRecall,overallF1,overallFPR,overallYoudenJ,TP,TN,FP,FN,TP_ArithmeticBranch,FN_ArithmeticBranch,Recall_ArithmeticBranch,TP_CallIndirection,FN_CallIndirection,Recall_CallIndirection,TP_ClassRename,FN_ClassRename,Recall_ClassRename,TP_ConstStringEncryption,FN_ConstStringEncryption,Recall_ConstStringEncryption,TP_FieldRename,FN_FieldRename,Recall_FieldRename,TP_Goto,FN_Goto,Recall_Goto,TP_MethodOverload,FN_MethodOverload,Recall_MethodOverload,TP_MethodRename,FN_MethodRename,Recall_MethodRename,TP_Reflection,FN_Reflection,Recall_Reflection
deepseek-r1_32b,ObfuscationDetectionV3,0.7,0.96,0.81,0.88,0.33,0.48,73,6,3,17,8,3,0.73,9,1,0.9,10,0,1.0,10,0,1.0,7,3,0.7,8,2,0.8,9,1,0.9,7,3,0.7,5,4,0.56
deepseek-r1_32b,ObfuscationDetectionV3,0.8,0.96,0.24,0.39,0.11,0.13,22,8,1,68,1,10,0.09,2,8,0.2,7,3,0.7,3,7,0.3,2,8,0.2,4,6,0.4,2,8,0.2,1,9,0.1,0,9,0.0
deepseek-r1_32b,ObfuscationDetectionV3,0.9,NaN,0.0,NaN,0.0,0.0,0,9,0,90,0,11,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gemma3_27b,ObfuscationDetectionV1,0.1,0.91,1.0,0.95,1.0,0.0,88,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,8,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
gemma3_27b,ObfuscationDetectionV1,0.2,0.91,0.98,0.94,1.0,-0.02,86,0,9,2,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,8,0,1.0,8,2,0.8,10,0,1.0,9,0,1.0
gemma3_27b,ObfuscationDetectionV1,0.3,0.92,0.91,0.91,0.78,0.13,80,2,7,8,9,2,0.82,10,0,1.0,10,0,1.0,10,0,1.0,9,1,0.9,6,2,0.75,8,2,0.8,9,1,0.9,9,0,1.0
gemma3_27b,ObfuscationDetectionV1,0.4,0.94,0.68,0.79,0.44,0.24,60,5,4,28,8,3,0.73,8,2,0.8,10,0,1.0,10,0,1.0,8,2,0.8,3,5,0.38,2,8,0.2,4,6,0.4,7,2,0.78
gemma3_27b,ObfuscationDetectionV1,0.5,0.98,0.45,0.62,0.11,0.34,40,8,1,48,3,8,0.27,5,5,0.5,10,0,1.0,9,1,0.9,4,6,0.4,2,6,0.25,1,9,0.1,2,8,0.2,4,5,0.44
gemma3_27b,ObfuscationDetectionV1,0.6,1.0,0.33,0.5,0.0,0.33,29,9,0,59,1,10,0.09,3,7,0.3,10,0,1.0,7,3,0.7,2,8,0.2,1,7,0.12,1,9,0.1,2,8,0.2,2,7,0.22
gemma3_27b,ObfuscationDetectionV1,0.7,1.0,0.26,0.41,0.0,0.26,23,9,0,65,1,10,0.09,2,8,0.2,10,0,1.0,5,5,0.5,1,9,0.1,1,7,0.12,1,9,0.1,1,9,0.1,1,8,0.11
gemma3_27b,ObfuscationDetectionV1,0.8,1.0,0.16,0.27,0.0,0.16,14,9,0,74,1,10,0.09,1,9,0.1,7,3,0.7,2,8,0.2,0,10,0.0,1,7,0.12,1,9,0.1,1,9,0.1,0,9,0.0
gemma3_27b,ObfuscationDetectionV1,0.9,1.0,0.07,0.13,0.0,0.07,6,9,0,82,0,11,0.0,0,10,0.0,5,5,0.5,1,9,0.1,0,10,0.0,0,8,0.0,0,10,0.0,0,10,0.0,0,9,0.0
gemma3_27b,ObfuscationDetectionV2,0.1,0.91,1.0,0.95,1.0,0.0,90,0,9,0,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,0,1.0
gemma3_27b,ObfuscationDetectionV2,0.2,0.91,0.99,0.95,1.0,-0.01,89,0,9,1,11,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,10,0,1.0,9,1,0.9,10,0,1.0,9,0,1.0
gemma3_27b,ObfuscationDetectionV2,0.3,0.92,0.94,0.93,0.78,0.17,85,2,7,5,10,1,0.91,10,0,1.0,10,0,1.0,10,0,1.0,9,1,0.9,10,0,1.0,8,2,0.8,9,1,0.9,9,0,1.0
gemma3_27b,ObfuscationDetectionV2,0.4,0.94,0.68,0.79,0.44,0.23,61,5,4,29,7,4,0.64,8,2,0.8,10,0,1.0,10,0,1.0,7,3,0.7,5,5,0.5,2,8,0.2,5,5,0.5,7,2,0.78
